,A,B,C,D
0,702,1249.0,785.0,1851.0
1,848,767.0,1857.0,1457.0
2,528,1278.0,1432.0,1106.0
3,788,1783.0,910.0,1680.0
4,1469,437.0,1351.0,733.0
5,682,1549.0,1300.0,1951.0
6,627,582.0,17.0,726.0
7,1107,166.0,631.0,1046.0
8,848,847.0,734.0,1272.0
9,1494,1268.0,870.0,1873.0
10,1577,1803.0,1719.0,929.0
11,1102,71.0,1424.0,107.0
12,1460,375.0,1482.0,592.0
13,886,629.0,1967.0,1571.0
14,1907,342.0,328.0,1091.0
15,26,442.0,117.0,81.0
16,934,1478.0,74.0,1425.0
17,496,1906.0,1007.0,1952.0
18,429,126.0,676.0,921.0
19,1144,521.0,699.0,632.0
20,102,818.0,843.0,713.0
21,171,1713.0,219.0,1328.0
22,1784,542.0,673.0,138.0
23,1015,694.0,432.0,236.0
24,1611,1103.0,1952.0,458.0
25,229,791.0,679.0,444.0
26,1663,1120.0,1306.0,832.0
27,699,291.0,1057.0,1517.0
28,1992,1826.0,488.0,598.0
29,1416,134.0,151.0,1905.0
30,394,1847.0,1793.0,157.0
31,1809,1333.0,1750.0,1934.0
32,1374,244.0,1955.0,1072.0
33,901,1588.0,1568.0,580.0
34,208,532.0,883.0,449.0
35,1756,598.0,704.0,1431.0
36,1977,1480.0,1149.0,1881.0
37,472,1580.0,1488.0,1239.0
38,256,992.0,532.0,1161.0
39,214,398.0,144.0,325.0
40,1674,711.0,1667.0,947.0
41,1671,521.0,908.0,53.0
42,1283,602.0,644.0,1276.0
43,1787,965.0,1747.0,174.0
44,740,223.0,1619.0,1108.0
45,523,1260.0,146.0,1632.0
46,1438,1553.0,1448.0,1228.0
47,964,70.0,813.0,1120.0
48,1399,1804.0,1698.0,926.0
49,1961,1034.0,497.0,775.0
50,1776,399.0,724.0,608.0
51,270,898.0,353.0,1948.0
52,1268,887.0,1235.0,1681.0
53,1032,1656.0,1039.0,1697.0
54,362,672.0,1674.0,1245.0
55,1708,989.0,1655.0,665.0
56,1556,1373.0,1425.0,210.0
57,997,355.0,261.0,1484.0
58,1126,487.0,592.0,1264.0
59,1967,443.0,775.0,1446.0
60,1152,1561.0,545.0,673.0
61,188,105.0,415.0,1814.0
