,E,F,G,H
0,1952,82,246,1302.0
1,1625,1270,802,1902.0
2,550,671,183,1980.0
3,1539,1690,1863,1456.0
4,1934,1585,1062,1940.0
5,1053,1862,1116,1747.0
6,916,1616,1185,1100.0
7,363,508,1548,1758.0
8,742,1217,86,522.0
9,1319,3,843,1743.0
10,1203,1307,161,1019.0
11,1939,402,714,197.0
12,1515,293,905,67.0
13,872,1681,229,1875.0
14,424,1447,66,616.0
15,249,699,1230,1548.0
16,89,1069,753,198.0
17,278,1459,677,1733.0
18,627,324,1893,1547.0
19,1501,334,886,1348.0
20,1168,48,1753,378.0
21,1666,1658,1044,397.0
22,858,1758,241,246.0
23,1419,670,1872,438.0
24,1384,139,1759,492.0
25,189,327,365,1289.0
26,130,636,420,1480.0
27,673,1633,1706,960.0
28,345,1739,1824,361.0
29,812,691,1825,710.0
30,312,1678,932,273.0
31,1475,771,260,1314.0
32,256,1412,1300,631.0
33,363,467,670,504.0
34,888,420,429,169.0
35,710,1358,1648,1864.0
36,1206,567,410,1312.0
37,1324,56,1013,1020.0
38,214,1239,1658,854.0
39,1858,534,1801,1115.0
40,482,1915,322,1580.0
41,1473,708,1646,57.0
42,1683,1653,599,301.0
43,120,1009,1029,1757.0
44,253,282,64,1438.0
45,1786,852,968,867.0
46,210,1402,1433,291.0
47,593,874,1931,1215.0
48,1405,22,251,934.0
49,1822,1314,711,1266.0
50,665,643,60,1201.0
51,1489,995,1629,629.0
52,960,554,856,1087.0
53,727,1892,517,1586.0
54,882,1721,1068,823.0
55,312,1779,1695,728.0
56,298,1518,682,655.0
57,1026,1582,1280,1879.0
58,905,260,1396,1868.0
59,1144,1099,212,93.0
60,1283,753,859,857.0
61,329,817,389,292.0
62,1987,1606,1999,481.0
63,279,1665,1814,646.0
64,768,379,1130,1530.0
65,118,40,1328,1627.0
66,1355,1978,1388,1225.0
67,1978,899,209,1403.0
68,1785,1289,23,1654.0
69,1298,428,199,867.0
70,685,16,1256,1351.0
71,1122,497,942,1434.0
72,1786,184,1765,1252.0
73,306,1652,955,1189.0
74,1042,758,242,1022.0
75,1845,763,1888,1978.0
76,1091,117,289,855.0
77,601,963,1472,347.0
78,253,576,1082,744.0
79,1704,918,1594,236.0
80,207,1923,703,735.0
81,140,1391,1997,294.0
82,790,1195,1119,1666.0
83,888,335,917,523.0
84,141,1676,21,217.0
85,321,206,352,1022.0
86,684,1201,1061,376.0
87,1497,1732,1585,1591.0
88,1620,944,1098,216.0
89,935,1561,190,1660.0
90,819,1325,1602,1429.0
91,1473,342,975,1762.0
92,412,1420,1222,1387.0
93,1464,685,994,1580.0
94,881,17,791,110.0
95,1055,1652,1885,110.0
96,1218,944,1391,1536.0
97,564,1017,1828,305.0
98,1333,741,1780,451.0
99,393,1250,1609,1696.0
100,856,1940,296,411.0
101,876,1054,318,1772.0
102,91,26,1633,977.0
103,1146,817,1842,1526.0
104,228,1516,1565,1953.0
105,570,1062,1889,1499.0
106,102,1285,1826,1953.0
107,622,221,1186,227.0
108,895,679,1500,974.0
109,1173,1940,1279,725.0
110,671,1739,787,518.0
111,20,1883,1565,474.0
112,1447,1624,172,935.0
113,1073,1275,1960,370.0
114,551,1715,147,1501.0
115,790,1101,231,294.0
116,553,1481,383,1436.0
117,1820,1478,1656,534.0
118,630,704,651,1381.0
119,182,318,221,1864.0
120,1970,593,820,906.0
121,583,1632,510,1463.0
122,1022,1420,552,10.0
123,922,773,1193,673.0
124,13,1895,455,63.0
125,1627,343,1637,891.0
126,914,361,1199,817.0
127,100,662,52,610.0
128,746,1758,822,1802.0
129,1022,1925,370,323.0
130,1781,1357,1134,315.0
131,985,1583,1932,415.0
132,1698,1259,1756,787.0
133,1011,596,183,1904.0
134,379,1783,683,1784.0
135,1932,1778,1206,1880.0
136,1760,1866,1777,1673.0
137,481,817,1708,680.0
138,1171,190,1697,643.0
139,1027,1734,908,1843.0
140,1383,1888,1114,1315.0
141,327,1306,913,1743.0
142,235,186,749,921.0
143,722,1713,745,530.0
144,610,1293,482,868.0
145,96,669,324,73.0
146,1655,476,681,1521.0
147,1168,452,1498,1128.0
148,1170,1206,1728,1810.0
