,M,N,O,P
0,686,1867,157,567.0
1,1722,265,1651,133.0
2,1901,508,1912,1288.0
3,1303,968,1596,1611.0
4,1062,1002,792,1703.0
5,1121,1822,1984,1302.0
6,1846,402,553,296.0
7,9,1745,1099,1942.0
8,113,1181,787,939.0
9,903,1272,1492,525.0
10,1138,629,610,37.0
11,297,1977,767,512.0
12,1349,1465,1346,155.0
13,1871,862,493,1987.0
14,1008,1432,120,321.0
15,1475,20,681,774.0
16,987,274,1523,720.0
17,650,1118,1181,325.0
18,88,1719,691,388.0
19,1205,261,1678,526.0
20,894,1228,165,630.0
21,276,1327,1529,1143.0
22,324,1187,1527,943.0
23,440,1333,79,1385.0
24,317,1943,886,1901.0
25,31,1376,1526,1602.0
26,508,160,314,573.0
27,1591,712,1800,1538.0
28,1039,1453,744,277.0
29,1795,1602,1298,298.0
30,451,350,896,213.0
31,1118,1964,1099,653.0
32,1456,321,1300,739.0
33,151,514,607,1668.0
34,1369,625,1643,451.0
35,220,521,389,671.0
36,828,1871,1014,1691.0
37,1377,135,1296,848.0
38,1088,1282,1786,1767.0
39,174,774,1979,1990.0
40,604,350,636,1912.0
41,1386,1277,1141,1058.0
42,722,1832,471,1672.0
43,1472,260,1169,1016.0
44,941,1976,690,1579.0
45,1695,1523,1267,418.0
46,235,1386,499,1861.0
47,1586,1207,1923,1048.0
48,837,1222,1700,943.0
49,756,952,1142,1127.0
50,1149,892,1923,1693.0
51,1802,454,1602,1745.0
52,1405,1752,1986,736.0
53,401,563,288,1633.0
54,1607,1718,430,1838.0
55,1910,218,166,1751.0
56,1456,36,805,1956.0
57,18,29,1682,1160.0
58,180,1910,1422,1838.0
59,1590,1666,1062,1106.0
60,1937,182,1105,321.0
61,633,1394,892,418.0
62,1470,1829,1635,390.0
63,1226,73,218,1004.0
64,259,181,1841,1113.0
65,1433,1740,1171,1627.0
66,1402,728,1015,1301.0
67,1038,707,1817,317.0
68,278,989,1809,1209.0
69,1596,85,1452,962.0
70,1452,422,124,1913.0
71,1475,1652,733,1565.0
72,166,1531,71,623.0
73,984,20,1219,787.0
74,1998,1977,1532,1682.0
75,1018,397,581,1727.0
76,1206,1683,1819,552.0
77,872,516,100,1260.0
78,188,556,511,53.0
79,1709,969,734,207.0
80,389,1921,1019,601.0
81,1159,1028,676,1760.0
82,1875,1428,923,1469.0
83,918,1706,56,1425.0
84,526,1535,78,1617.0
85,782,1530,1749,895.0
86,495,765,1269,1644.0
87,1610,545,1842,1618.0
88,1407,372,1693,118.0
89,452,164,1145,1832.0
90,755,1465,1852,998.0
91,205,1774,637,1031.0
92,708,229,1863,456.0
93,1470,284,819,1588.0
94,1633,1857,189,1328.0
95,476,1815,255,1107.0
96,170,49,1481,366.0
97,1017,1566,996,774.0
98,41,1338,652,126.0
