,Q,R,S,T
0,1750,1710,75.0,738.0
1,813,374,559.0,257.0
2,1053,1501,466.0,892.0
3,1102,130,1693.0,369.0
4,1348,343,233.0,1828.0
5,1346,1263,225.0,1266.0
6,132,1879,475.0,133.0
7,1635,766,1406.0,649.0
8,552,1439,1634.0,1781.0
9,1517,628,86.0,1973.0
10,360,1226,393.0,1253.0
11,269,1004,1891.0,309.0
12,1774,1450,25.0,38.0
13,1777,754,1181.0,952.0
14,8,1294,1601.0,1142.0
15,1618,1256,1042.0,1265.0
16,864,1879,1313.0,1105.0
17,54,1569,45.0,118.0
18,1576,1322,541.0,884.0
19,305,1694,1035.0,1801.0
20,1312,28,1135.0,1102.0
21,1577,1338,326.0,448.0
22,359,62,1835.0,677.0
23,876,99,1516.0,203.0
24,1658,497,478.0,842.0
25,4,1073,934.0,805.0
26,596,1531,1900.0,1428.0
27,185,995,758.0,1737.0
28,1439,262,1259.0,795.0
29,385,1457,1138.0,1675.0
30,1534,353,1306.0,1873.0
31,1492,267,173.0,918.0
32,1131,172,556.0,1696.0
33,1864,302,846.0,1931.0
34,847,1870,1461.0,695.0
35,346,877,1221.0,1509.0
36,831,1933,1014.0,170.0
37,786,640,951.0,1165.0
38,1174,122,790.0,1626.0
39,489,611,1513.0,641.0
40,979,1288,821.0,1297.0
41,460,1532,1879.0,468.0
42,1754,1687,541.0,737.0
43,374,1671,1757.0,243.0
44,841,1244,1941.0,1042.0
45,1310,1227,1473.0,1690.0
46,976,1523,587.0,239.0
47,621,583,1491.0,883.0
48,1161,299,1043.0,1916.0
49,174,1078,532.0,1194.0
50,1529,1628,619.0,1149.0
51,1083,417,569.0,1841.0
52,1872,1544,85.0,1155.0
53,646,816,1194.0,385.0
54,210,900,1228.0,1890.0
55,1446,344,650.0,288.0
56,1129,237,64.0,643.0
57,14,1756,864.0,670.0
58,1233,1716,1911.0,1239.0
59,847,57,218.0,457.0
60,224,1203,1396.0,1641.0
61,236,852,489.0,1003.0
62,1164,904,642.0,1402.0
63,284,1839,665.0,368.0
64,1922,1403,1899.0,777.0
65,726,1498,579.0,126.0
66,1162,1359,88.0,1843.0
67,133,587,466.0,1003.0
68,1608,1047,1155.0,1218.0
69,839,1337,48.0,1278.0
70,1053,1395,154.0,1060.0
71,1786,1419,1920.0,45.0
72,1260,1827,1744.0,1361.0
73,478,1972,1101.0,1394.0
74,470,1001,1126.0,1621.0
75,9,356,1070.0,877.0
76,99,1765,1819.0,1579.0
77,1748,452,1217.0,1452.0
78,1685,1754,1305.0,1317.0
79,172,396,197.0,1771.0
80,92,1797,356.0,120.0
81,897,1051,1224.0,1995.0
82,733,1044,1972.0,1528.0
83,1209,148,128.0,1048.0
84,857,1956,213.0,1338.0
85,299,1294,516.0,1117.0
86,1065,771,1723.0,1554.0
87,558,742,214.0,810.0
88,1254,1231,187.0,1078.0
89,1939,567,274.0,236.0
90,531,570,717.0,1249.0
91,611,729,1934.0,94.0
92,1120,1675,560.0,958.0
93,269,1686,1880.0,1899.0
94,487,881,1881.0,1332.0
95,406,1483,9.0,1979.0
96,453,1167,1206.0,437.0
97,501,201,177.0,1007.0
