,U,V
0,1353,489.0
1,1502,673.0
2,1173,1217.0
3,1423,84.0
4,113,1782.0
5,1861,1366.0
6,284,1468.0
7,753,250.0
8,1583,311.0
9,586,1298.0
10,636,1800.0
11,1975,193.0
12,533,456.0
13,278,740.0
14,1322,1961.0
15,761,1896.0
16,1945,884.0
17,1418,614.0
18,1486,1540.0
19,1514,1260.0
20,1283,153.0
21,754,1031.0
22,417,1067.0
23,403,1071.0
24,357,961.0
25,1123,83.0
26,1236,1274.0
27,1729,826.0
28,89,550.0
29,1929,64.0
30,1715,1728.0
31,1089,1672.0
32,1921,199.0
33,1825,1755.0
34,1256,1262.0
35,1012,1070.0
36,853,521.0
37,225,12.0
38,952,1526.0
39,1292,718.0
40,1428,786.0
41,731,565.0
42,115,1354.0
43,1400,1513.0
44,664,1314.0
45,177,1741.0
46,1391,879.0
47,1826,1361.0
48,1957,847.0
49,294,1587.0
50,242,71.0
51,595,181.0
52,1119,657.0
53,233,227.0
54,582,1990.0
55,832,716.0
56,1408,1343.0
57,1828,810.0
58,1936,1674.0
59,1258,1035.0
60,1930,723.0
61,314,611.0
62,951,1705.0
63,736,1738.0
64,115,734.0
65,1958,116.0
66,725,125.0
67,730,1888.0
68,1682,66.0
69,1661,1354.0
70,1986,1537.0
71,1408,1292.0
72,572,202.0
73,1409,729.0
74,650,22.0
75,228,1088.0
76,872,530.0
77,1171,768.0
78,427,437.0
79,1291,1597.0
80,500,1682.0
81,1066,748.0
82,248,497.0
83,29,454.0
84,1613,1981.0
85,123,578.0
86,25,1889.0
87,1691,361.0
88,820,343.0
89,844,475.0
90,1558,1008.0
91,556,1236.0
92,989,1220.0
93,619,488.0
94,976,1016.0
95,204,2000.0
96,860,902.0
97,1155,1864.0
98,188,706.0
99,386,1635.0
100,757,153.0
101,330,792.0
102,176,796.0
103,25,1797.0
104,766,61.0
105,1767,1099.0
106,1873,436.0
107,369,253.0
108,1641,1786.0
109,1513,60.0
110,11,1193.0
111,208,1800.0
