,A,B,C,D,E
0,1832,11,1684,165.0,1592.0
1,1381,1520,1312,953.0,544.0
2,568,1051,1341,1170.0,39.0
3,1675,1361,1299,1591.0,1292.0
4,1647,1675,488,1315.0,527.0
5,1329,560,1941,881.0,714.0
6,577,1705,1208,1248.0,695.0
7,1631,1042,504,575.0,907.0
8,92,973,1200,1605.0,1532.0
9,1661,849,889,405.0,974.0
10,271,1165,50,1392.0,1972.0
11,1981,57,213,1010.0,1131.0
12,639,547,109,1515.0,689.0
13,1671,494,27,216.0,1201.0
14,790,241,1550,75.0,351.0
15,792,1359,677,1709.0,957.0
16,1193,778,1591,637.0,216.0
17,1786,890,624,432.0,659.0
18,413,581,1052,1575.0,1506.0
19,1809,621,245,913.0,1706.0
20,716,1662,1291,1001.0,563.0
21,180,382,165,16.0,1647.0
22,1498,1905,697,529.0,351.0
23,1119,1924,1866,277.0,183.0
24,205,1533,1929,385.0,895.0
25,720,976,1434,479.0,1885.0
26,683,758,1478,1066.0,1524.0
27,1930,851,1208,370.0,1299.0
28,170,1628,1195,303.0,238.0
29,965,508,187,1980.0,302.0
30,210,116,1194,1789.0,45.0
31,1745,292,1648,365.0,21.0
32,119,436,399,1264.0,1589.0
33,819,1463,204,438.0,1685.0
34,1600,1473,1201,458.0,660.0
35,1777,284,1312,268.0,454.0
36,1508,1081,1280,1845.0,1365.0
37,1501,412,1413,886.0,1598.0
38,422,224,643,1331.0,1475.0
39,1739,1037,1245,868.0,913.0
40,1231,278,1651,121.0,541.0
41,402,889,1376,127.0,1558.0
42,215,960,1385,713.0,403.0
43,1943,596,886,1738.0,1788.0
44,1274,1564,1119,1578.0,859.0
45,1036,1908,1522,672.0,1048.0
46,44,1025,1210,867.0,1323.0
47,492,1789,1810,971.0,768.0
48,1213,754,887,580.0,666.0
49,58,468,351,1559.0,1258.0
50,1458,1168,1728,1383.0,138.0
51,1024,1353,1916,305.0,1104.0
52,943,723,306,377.0,365.0
53,1678,22,1882,1879.0,1001.0
54,1803,784,633,1770.0,1212.0
55,302,755,1404,444.0,1525.0
56,477,771,1556,1120.0,1197.0
57,1748,1371,1176,335.0,114.0
58,997,1693,1720,1299.0,265.0
59,1654,273,696,1332.0,560.0
60,371,1672,109,1433.0,55.0
61,1303,151,1626,91.0,657.0
62,884,999,1818,689.0,1096.0
63,1706,1458,766,1611.0,1597.0
64,1069,325,872,855.0,1758.0
65,758,933,1763,124.0,1684.0
66,354,1842,1486,430.0,302.0
67,186,27,488,629.0,1095.0
68,968,293,1014,752.0,760.0
69,493,576,1523,887.0,573.0
70,1454,1828,1272,1116.0,538.0
71,1149,187,1571,512.0,16.0
72,1397,168,798,1847.0,21.0
73,842,1758,1752,1245.0,1066.0
74,530,652,281,1531.0,230.0
75,1668,1485,1315,1321.0,313.0
76,295,1202,651,486.0,703.0
77,506,181,1987,130.0,1282.0
78,1874,1528,1544,1967.0,31.0
79,206,1542,1040,1862.0,1781.0
80,937,812,1671,1119.0,632.0
81,1565,872,586,803.0,74.0
82,645,842,1453,271.0,1414.0
83,1234,1509,1652,1896.0,729.0
84,1119,1867,328,218.0,1017.0
85,882,892,297,125.0,230.0
86,1589,1973,1042,1511.0,160.0
87,262,61,118,852.0,254.0
88,876,842,798,1492.0,865.0
89,1189,17,280,429.0,513.0
90,1528,730,211,12.0,1988.0
91,395,1982,673,1678.0,1983.0
92,934,877,1981,1485.0,1210.0
93,1353,203,1179,578.0,88.0
94,1329,477,809,1350.0,1228.0
95,240,350,821,1463.0,921.0
96,1255,1183,901,683.0,590.0
97,421,1193,1944,1684.0,751.0
98,1559,1999,321,138.0,986.0
99,826,1379,93,1936.0,618.0
100,400,963,14,911.0,907.0
101,1653,1740,926,487.0,1728.0
102,217,42,2,1559.0,1157.0
103,1309,628,503,1862.0,1853.0
104,459,1550,1330,1149.0,1565.0
105,799,1698,960,464.0,185.0
106,86,871,977,425.0,1333.0
107,607,1841,1230,1282.0,1312.0
108,1045,258,140,884.0,177.0
109,1041,34,1878,1471.0,918.0
110,955,1014,187,1982.0,226.0
111,680,1023,1161,1750.0,743.0
112,1970,67,1541,410.0,711.0
113,1460,43,1640,11.0,1754.0
114,1445,106,1479,485.0,1114.0
115,1491,1920,92,1274.0,509.0
116,524,143,521,1164.0,1552.0
117,1185,90,321,1497.0,353.0
118,1189,671,1485,1888.0,1363.0
119,1581,1141,1018,1687.0,954.0
120,1295,659,1786,733.0,142.0
121,1123,500,1160,1212.0,1655.0
122,1932,1672,1974,1165.0,1895.0
123,440,968,1326,789.0,1722.0
124,1477,1138,498,1491.0,235.0
125,874,1437,1290,64.0,204.0
126,609,1555,1159,568.0,1723.0
127,874,15,1349,924.0,323.0
128,451,948,711,1615.0,715.0
129,1599,31,335,119.0,54.0
130,1950,1507,158,901.0,256.0
131,25,446,491,1896.0,1678.0
132,1600,525,601,1956.0,589.0
133,828,1406,918,6.0,504.0
134,1281,1213,1392,957.0,79.0
135,1271,1560,900,1182.0,480.0
136,106,517,1449,1680.0,1180.0
137,779,1289,137,371.0,963.0
138,1521,1686,347,158.0,1054.0
139,924,363,162,1146.0,80.0
140,1749,797,1880,1287.0,395.0
141,1813,359,1642,586.0,52.0
142,1090,214,82,1140.0,1002.0
143,1491,540,77,488.0,1669.0
144,472,1101,1793,1063.0,1047.0
145,1605,811,742,547.0,1137.0
146,319,338,1074,639.0,809.0
147,925,1759,1221,1497.0,1231.0
148,167,417,47,119.0,1081.0
149,1153,257,180,88.0,226.0
150,284,1556,1187,159.0,855.0
151,1194,1313,798,1591.0,1536.0
152,1324,1727,1413,736.0,15.0
153,1604,912,1055,1222.0,1724.0
154,312,310,1190,1841.0,1669.0
155,748,998,96,246.0,1115.0
156,168,1578,140,1252.0,909.0
157,1401,587,1241,1376.0,1430.0
158,298,1616,15,595.0,1573.0
159,1184,665,1265,1813.0,247.0
160,1701,1513,248,639.0,953.0
161,437,1666,564,879.0,913.0
162,1423,1654,1858,1067.0,1859.0
163,1502,905,1419,82.0,2.0
164,739,263,1345,516.0,746.0
165,114,1546,464,1595.0,792.0
166,1060,1137,903,1132.0,1464.0
167,443,1265,1860,883.0,256.0
168,1536,626,1017,455.0,1187.0
169,468,228,1876,640.0,1183.0
170,1926,369,1885,841.0,1036.0
171,1668,1049,796,1024.0,745.0
172,627,827,288,1488.0,278.0
173,589,1069,1788,267.0,1883.0
174,272,1087,528,1716.0,141.0
175,172,950,1794,575.0,466.0
176,115,272,820,149.0,302.0
177,1909,928,1707,216.0,664.0
178,395,1503,509,208.0,49.0
179,912,1644,297,1008.0,968.0
180,762,1340,1742,880.0,522.0
181,768,98,116,1696.0,1045.0
182,1556,449,1972,1173.0,234.0
183,488,892,1193,1438.0,286.0
184,1519,1391,971,1721.0,1353.0
185,999,1848,1856,108.0,1554.0
186,136,1431,898,1693.0,786.0
187,622,779,618,80.0,268.0
188,687,813,906,1579.0,1626.0
189,1634,1336,1285,328.0,756.0
190,910,868,328,493.0,576.0
191,1675,628,556,1407.0,1373.0
192,519,1465,418,1232.0,197.0
193,118,1254,1662,1210.0,1962.0
194,492,1306,622,327.0,880.0
195,1032,1948,1393,1961.0,978.0
196,1462,468,1689,1569.0,1480.0
197,1464,1586,790,721.0,834.0
198,1462,313,309,1131.0,1387.0
199,746,1007,1972,1810.0,818.0
200,186,636,1547,60.0,1518.0
201,1689,371,1786,1403.0,904.0
202,348,478,1239,479.0,1895.0
203,486,1936,1107,121.0,1055.0
204,1102,909,1748,238.0,1562.0
205,490,208,1173,1003.0,591.0
206,804,1920,1960,723.0,1264.0
207,1948,1381,1292,42.0,759.0
208,1915,540,1353,374.0,1407.0
209,543,1233,1142,1292.0,747.0
210,529,1425,640,206.0,1368.0
211,1934,1631,1199,1115.0,360.0
212,391,1994,1277,1966.0,1820.0
213,1951,363,444,48.0,1707.0
214,414,602,1685,464.0,587.0
215,767,950,482,639.0,971.0
216,491,245,1803,812.0,544.0
217,296,1888,1362,1681.0,1811.0
218,328,1960,682,1837.0,333.0
219,1791,15,668,1761.0,1089.0
220,1688,1737,614,1091.0,176.0
221,641,1478,647,336.0,830.0
222,240,182,33,309.0,1137.0
223,770,542,1984,1053.0,145.0
224,710,53,548,327.0,896.0
225,1006,191,1176,1452.0,1697.0
226,326,672,1187,1373.0,410.0
227,1143,1613,561,445.0,1825.0
228,527,814,901,1419.0,1107.0
229,223,1425,642,1149.0,1117.0
230,1447,1292,650,417.0,1354.0
231,1990,1548,1399,359.0,99.0
232,1767,1566,1283,310.0,336.0
233,1383,1990,1749,1664.0,1959.0
234,548,1703,1890,1982.0,1408.0
235,85,254,10,1900.0,516.0
236,691,374,1884,626.0,1972.0
237,281,1986,1150,60.0,1812.0
238,956,478,524,427.0,1611.0
239,1500,31,1491,147.0,1717.0
240,1307,1787,1581,1818.0,1752.0
241,1364,441,93,196.0,891.0
242,1831,66,1397,1009.0,413.0
243,1940,1964,629,1287.0,287.0
244,1283,1168,120,1870.0,277.0
245,1032,596,1978,65.0,1862.0
246,837,573,123,1360.0,1730.0
247,68,1014,1047,1976.0,522.0
248,1823,184,1570,952.0,929.0
249,1674,145,67,689.0,188.0
250,654,1071,1567,296.0,326.0
251,253,331,386,167.0,1522.0
252,1321,1943,156,104.0,799.0
253,712,1007,839,1018.0,834.0
254,152,1432,1852,858.0,1918.0
255,1420,132,370,522.0,841.0
256,671,702,954,25.0,64.0
257,1772,1857,1524,1175.0,421.0
258,1854,1202,603,474.0,1785.0
259,328,1388,368,1413.0,464.0
260,1400,771,420,1753.0,1429.0
261,1420,1871,839,451.0,858.0
262,1595,1936,577,960.0,960.0
263,250,591,1124,1841.0,1281.0
264,1747,636,1427,410.0,581.0
265,23,83,104,441.0,1495.0
266,1904,1863,1502,1651.0,306.0
267,213,1368,1058,782.0,392.0
268,614,664,221,682.0,544.0
269,1883,1346,1087,1215.0,1272.0
270,718,181,1674,505.0,9.0
271,1816,1984,293,1505.0,266.0
272,1065,1055,1357,1898.0,1448.0
273,315,354,1003,1533.0,48.0
274,675,129,120,270.0,1956.0
275,1603,501,4,1098.0,1196.0
276,1337,1704,409,1750.0,330.0
277,848,1761,381,979.0,375.0
278,550,128,1684,1799.0,1310.0
279,1985,1517,1301,1295.0,1598.0
280,172,1742,1286,64.0,216.0
281,1845,1093,1136,584.0,517.0
282,1548,422,1683,1353.0,1533.0
283,13,926,1981,1023.0,1186.0
284,399,1749,47,1069.0,425.0
285,1238,546,373,1931.0,1781.0
286,527,763,1220,1296.0,173.0
287,1418,976,577,1054.0,1892.0
288,1001,1756,1944,164.0,953.0
289,638,1835,1029,1543.0,692.0
290,346,1479,1413,969.0,1676.0
291,1485,215,188,1596.0,1617.0
292,1784,1677,386,333.0,799.0
293,967,864,475,1236.0,1077.0
294,1379,233,392,1919.0,1490.0
295,1613,717,1090,1233.0,989.0
296,191,717,948,663.0,658.0
297,358,387,1565,1542.0,644.0
298,1604,1670,1278,843.0,1846.0
299,508,324,372,1329.0,1971.0
300,1541,175,168,1839.0,1159.0
301,498,1797,84,953.0,1468.0
302,917,492,469,1951.0,998.0
303,1778,323,1302,233.0,1419.0
304,1949,1517,1325,1596.0,1418.0
305,969,1570,769,363.0,1044.0
306,24,1570,1987,1601.0,1782.0
307,1912,205,1484,141.0,1491.0
308,82,1248,539,1601.0,1802.0
309,538,439,233,1553.0,83.0
310,1960,897,1207,185.0,1330.0
311,1223,787,240,1601.0,726.0
312,1342,221,1294,763.0,1714.0
313,346,146,1543,1431.0,50.0
314,461,1899,1186,312.0,286.0
315,1967,1804,1645,788.0,1485.0
316,179,122,1475,293.0,1461.0
317,672,799,384,1838.0,1335.0
318,1533,432,763,1323.0,178.0
319,77,431,1700,258.0,467.0
320,947,1441,1987,1936.0,880.0
321,391,1990,225,1993.0,265.0
322,1405,1155,1509,1527.0,962.0
323,222,142,1790,859.0,201.0
324,1216,1375,304,464.0,1825.0
325,622,1295,1586,1090.0,155.0
326,1814,556,896,1994.0,680.0
327,1269,194,1559,1748.0,596.0
328,1207,1582,1180,802.0,311.0
329,1006,292,334,1711.0,1603.0
330,1681,413,1386,329.0,1860.0
331,172,855,818,1514.0,632.0
332,1369,641,1273,1955.0,1328.0
333,1282,942,1141,39.0,447.0
334,1551,1036,1173,135.0,253.0
335,1629,1384,1740,900.0,1746.0
336,1007,1746,877,1557.0,1598.0
337,1248,689,962,901.0,671.0
338,1767,113,251,901.0,1047.0
339,1112,369,526,1228.0,912.0
340,458,504,681,1708.0,863.0
341,161,259,1956,886.0,969.0
342,649,10,1301,626.0,1661.0
343,1565,20,952,1219.0,614.0
344,69,136,272,367.0,1999.0
345,987,1629,574,79.0,611.0
346,1420,106,1494,155.0,821.0
347,215,743,1158,245.0,724.0
348,1670,141,1360,470.0,1921.0
349,539,640,1274,1986.0,226.0
350,1914,1982,300,1418.0,616.0
351,1065,539,1460,1564.0,548.0
352,866,525,158,458.0,190.0
353,942,749,925,1653.0,1219.0
354,382,209,1808,1700.0,236.0
355,1657,902,42,270.0,202.0
356,1112,653,2,320.0,628.0
357,1573,427,212,425.0,1099.0
358,1263,146,71,1146.0,1631.0
359,360,137,395,1362.0,748.0
360,783,228,1860,455.0,699.0
361,1746,1824,1762,1838.0,847.0
362,179,170,588,209.0,1253.0
363,383,1518,1518,945.0,158.0
364,1339,707,380,609.0,1629.0
365,657,1917,260,644.0,731.0
366,1566,267,1200,977.0,764.0
367,623,39,651,1219.0,1804.0
368,1502,35,1239,588.0,1874.0
369,1619,1319,624,432.0,1820.0
370,1623,1950,1906,629.0,176.0
371,1390,569,546,1210.0,858.0
372,1600,245,1937,368.0,208.0
373,1660,1731,168,682.0,1202.0
374,1248,148,257,1874.0,886.0
375,197,1130,539,599.0,207.0
376,191,425,1326,736.0,570.0
377,695,442,1911,1074.0,480.0
378,254,1420,1188,240.0,1005.0
379,1538,366,209,1157.0,613.0
380,199,199,1837,1097.0,1192.0
381,64,590,973,93.0,1661.0
382,1375,1355,503,20.0,495.0
383,444,377,261,1544.0,368.0
384,1184,1579,1405,206.0,1050.0
385,1511,1235,695,1936.0,1968.0
386,446,1729,973,1385.0,376.0
387,1508,98,429,108.0,1464.0
388,197,1193,1962,1717.0,1636.0
389,805,1458,254,636.0,1474.0
390,754,726,397,729.0,899.0
391,44,1278,1049,291.0,1889.0
392,1229,461,1257,574.0,378.0
393,1396,681,1884,993.0,920.0
394,582,1073,1647,1946.0,1712.0
395,1847,602,1852,539.0,290.0
396,1000,468,1678,1619.0,293.0
397,780,893,862,983.0,185.0
398,1565,373,740,1417.0,1070.0
399,1447,1063,1702,93.0,418.0
400,500,1815,754,1164.0,775.0
401,1290,729,325,206.0,1903.0
402,1836,1088,1902,1674.0,1393.0
403,267,1737,285,684.0,1953.0
404,647,1959,798,856.0,252.0
405,1491,119,925,728.0,1237.0
406,522,727,1792,731.0,671.0
407,445,1104,1042,1942.0,19.0
408,1918,1567,929,1010.0,1457.0
409,1567,167,1828,1592.0,312.0
410,270,183,1307,99.0,674.0
411,465,717,720,1053.0,1813.0
412,1362,1190,1832,1715.0,1960.0
413,117,1639,55,1888.0,1253.0
414,83,1695,879,1603.0,1387.0
415,5,34,1660,517.0,82.0
416,628,736,1620,1289.0,214.0
417,1312,1661,1053,1922.0,2.0
418,175,595,549,1072.0,852.0
419,787,1272,1646,444.0,774.0
420,1270,1820,347,348.0,1937.0
421,1597,1516,1527,249.0,782.0
422,74,1941,1046,1923.0,456.0
423,1787,1439,1966,1562.0,1792.0
424,347,418,597,1556.0,655.0
425,231,727,319,766.0,1695.0
426,1999,1420,1053,585.0,1037.0
427,1991,772,1083,1819.0,1695.0
428,754,833,771,610.0,1608.0
429,118,1950,262,866.0,770.0
430,397,1626,432,1689.0,1789.0
431,1067,544,236,108.0,1139.0
432,318,1138,849,1092.0,942.0
433,187,587,1331,1918.0,904.0
434,399,1799,859,738.0,944.0
435,211,537,1792,1933.0,1972.0
436,724,1469,350,685.0,625.0
437,690,648,1932,485.0,857.0
438,1852,320,903,1573.0,1528.0
439,603,1751,1797,1135.0,1604.0
440,1923,72,1020,149.0,76.0
441,897,1568,1567,175.0,1185.0
442,1444,1727,260,232.0,1431.0
443,1643,920,882,345.0,269.0
444,432,189,40,472.0,1877.0
445,579,1559,481,327.0,503.0
446,1668,254,413,1369.0,1402.0
447,130,828,1130,1744.0,1618.0
448,1127,524,1001,481.0,1997.0
449,987,40,1250,1639.0,1045.0
450,1799,1091,878,1127.0,1655.0
451,1827,1748,1127,1150.0,1779.0
452,486,876,296,510.0,1564.0
453,681,1412,1237,220.0,1999.0
454,780,313,266,1277.0,679.0
455,1328,1927,1941,1488.0,682.0
456,1801,1512,1029,1817.0,1003.0
457,1866,1676,964,94.0,418.0
458,906,1921,1612,334.0,274.0
459,1310,1158,42,143.0,1676.0
460,1103,165,860,1201.0,963.0
461,620,1623,1074,1510.0,97.0
462,1929,55,1062,1646.0,1243.0
463,199,177,677,1561.0,889.0
464,549,1583,673,771.0,1452.0
465,15,1836,1330,447.0,115.0
466,1222,481,81,1306.0,555.0
467,404,4,551,869.0,563.0
468,412,1831,977,1464.0,1348.0
469,1761,815,1550,151.0,890.0
470,406,1193,64,147.0,953.0
471,951,380,89,614.0,86.0
472,1708,1098,651,1008.0,1477.0
473,1040,222,1368,1163.0,1855.0
474,803,1640,431,954.0,1894.0
475,1742,676,187,1514.0,1594.0
476,1800,496,1764,98.0,781.0
477,1356,198,823,1182.0,956.0
478,806,452,1613,110.0,1410.0
479,1672,1504,294,795.0,821.0
480,1010,1566,1696,96.0,788.0
481,1464,160,1771,1849.0,1216.0
482,158,497,1913,404.0,1605.0
483,357,1993,756,928.0,233.0
484,266,608,1376,105.0,20.0
485,1978,1948,14,1727.0,410.0
486,1536,1716,1086,950.0,617.0
487,206,1140,1554,639.0,16.0
488,1346,646,1187,366.0,590.0
489,856,617,119,1356.0,1774.0
490,792,445,1671,508.0,1800.0
491,1529,1824,1086,,
